trat;temb;%g;tmg;ivg
t0;12;39;12.1;0.87
t0;24;50;8.5;1.25
t0;48;27;10.5;0.72
t0;72;35;11.5;0.87
t0;96;25;10.2;0.66
t0;120;54;11.2;0.94
t06;12;39;10.8;0.97
t06;24;52;7.7;1.14
t06;48;36;11.5;0.84
t06;72;44;10.2;1.22
t06;96;29;11.0;0.74
t06;120;38;10.7;0.80
t09;12;46;10.5;1.14
t09;24;78;8.3;1.64
t09;48;25;11.7;0.63
t09;72;41;9.5;1.23
t09;96;31;10.2;0.84
t09;120;34;10.7;0.61
t12;12;30;9.8;0.81
t12;24;58;9.5;1.14
t12;48;37;9.5;1.03
t12;72;33;9.7;0.97
t12;96;26;9.7;0.74
t12;120;44;10.2;0.77
t15;12;41;10.1;1.04
t15;24;48;8.5;1.12
t15;48;29;9.2;0.81
t15;72;31;9.5;0.90
t15;96;27;9.0;0.79
t15;120;50;9.2;1.02